personnel,formation,f_dir,ftag1,ftag2,fTag3,back_align,shift,motion,protection,play_name,p_tag1,p_tag2,play_dir,one_word_play,backRoute,check_into,keyPlayer1,keyPlayer2,hAlign,zAlign,p_Type,formType,passStr,runStr,prefHash,prefDown,prefDis,prefFieldPos,prefDFront,prefDCov,PrefDBlitz,prefSituation,confidence_base,success_rate,times_called,times_successful,,diagram_url,video_url,tags,created_by,created_at,updated_at,is_archived,last_used_at,complexity_score,search_vector
Regular,Trio,Right,,,,Near,,,,IZ,,,Lt,Golf,,Truck,T,L,Right,Right,Run,Tight Bunch,,,,,,,,,,,70,,,,,/assets/playDiagrams/golf.png,,,,,,,,,
Regular,Doubles,Left,,,,Near,,,,QB OZ,,,Lt,,,,Q,,Left,Right,Run,Tight Bunch,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Twins,Left,,,,Near,,,,Texas,Switch,,Lt,Rangers,,,L,R,Left,Right,Drop,Twins,Right,Left,Left,,,,,,,,,,,,,,,,,,,,,,
Regular,River,Rt,,,,Near,Zit,,,Z Cross,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Deuce,Lt,,,,Near,,,,Cross,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Twins,Lt,,,,Near,,,,Shallow,,,Rt,Shaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Transport,Lt,Squeeze,,,Near,,,,Betty,,,Lt,Space Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Transport,Rt,,,,,,,,Z Chase,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Deuce,Lt,,,,,,,,Pirate,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Deuce,Rt,,,,,,,,Pirate,,,Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,River,Rt,,,,Near,,,,Pirate,L Shallow,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Lake,Lt,,,,Near,,,,Pirate,R Shallow,,Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Pro,Rt,,,,,,Rip,,Trey,Bus,,Lt,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Pro,Lt,,,,,,Rip,,Trey,Bus,,Rt,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big,Navy,Lt,,,,Pistol,,,,Paws,,,Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big,Navy,Lt,,,,Pistol,Rock,,,Crow,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big,Navy,Lt,,,,Pistol,,,,Row,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Deuce,Lt,,,,Near,,,,Florida,,,Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,Deuce,Lt,Flex,,,,Zit,,Blast,Dagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular,River,Rt,Flex,Stack,,,,,Max,Z Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
