formation,play_name,p_type,personnel,protection,one_word_call,f_type,f_dir,p_dir,notes
Trips Right,Mesh,Pass,11,5-man,Mesh,Spread,Right,Right,Mesh from trips
Trips Right,Spacing,Pass,11,5-man,Space,Spread,Right,Right,Spacing concept
Trips Right,Stick,Pass,11,5-man,Stick,Spread,Right,Right,Stick concept
Trips Right,Verticals,Pass,11,5-man,Verts,Spread,Right,Right,Verticals from trips
Trips Right,Snag,Pass,11,5-man,Snag,Spread,Right,Right,Snag concept
Trips Right,Levels,Pass,11,5-man,Levels,Spread,Right,Right,Three levels
Trips Right,Drive,Pass,11,5-man,Drive,Spread,Right,Right,Drive concept
Trips Right,Scat,Pass,11,5-man,Scat,Spread,Right,Right,Scat protection
Trips Right,Bubble,Pass,11,Quick,Bubble,Spread,Right,Right,Quick bubble screen
Bunch Left,Mesh,Pass,11,5-man,Mesh,Spread,Left,Left,Mesh from bunch
Bunch Left,Snag,Pass,11,5-man,Snag,Spread,Left,Left,Snag from bunch
Bunch Left,Rub,Pass,11,5-man,Rub,Spread,Left,Left,Rub routes
Bunch Left,Switch,Pass,11,5-man,Switch,Spread,Left,Left,Switch releases
Bunch Left,Shallow,Pass,11,5-man,Shallow,Spread,Left,Left,Shallow cross
Bunch Left,Sail,Pass,11,5-man,Sail,Spread,Left,Left,Sail concept
Bunch Left,Drive,Pass,11,5-man,Drive,Spread,Left,Left,Drive concept
Bunch Left,Spot,Pass,11,5-man,Spot,Spread,Left,Left,Spot route concept
Bunch Left,Fade,Pass,11,5-man,Fade,Spread,Left,Left,Fade routes
Bunch Left,Slant,Pass,11,5-man,Slant,Spread,Left,Left,Bunch slants
Wildcat,Sweep Right,Run,13,N/A,Sweep,Heavy,Right,Right,Wildcat sweep
Wildcat,Power,Run,13,N/A,Power,Heavy,Right,Right,Wildcat power
Wildcat,Counter,Run,13,N/A,Counter,Heavy,Left,Left,Wildcat counter
Wildcat,Dive,Run,13,N/A,Dive,Heavy,Middle,Middle,Wildcat dive
Wildcat,QB Sweep,Run,13,N/A,QB,Heavy,Left,Left,QB sweep from wildcat
Wildcat,Jet Sweep,Run,13,N/A,Jet,Heavy,Right,Right,Jet sweep motion
Wildcat,Option,Run,13,N/A,Option,Heavy,Right,Right,Wildcat option read
Wildcat,Toss,Run,13,N/A,Toss,Heavy,Left,Left,Toss from wildcat
Wildcat,Belly,Run,13,N/A,Belly,Heavy,Right,Right,Belly run
Wildcat,Iso,Run,13,N/A,Iso,Heavy,Middle,Middle,Isolation from wildcat
Goal Line,Power,Run,23,N/A,Power,Goal Line,Right,Right,Goal line power
Goal Line,Dive,Run,23,N/A,Dive,Goal Line,Middle,Middle,Goal line dive
Goal Line,Sneak,Run,23,N/A,Sneak,Goal Line,Middle,Middle,QB sneak
Goal Line,Sweep,Run,23,N/A,Sweep,Goal Line,Right,Right,Goal line sweep
Goal Line,Iso,Run,23,N/A,Iso,Goal Line,Middle,Middle,Goal line iso
Goal Line,FB Dive,Run,23,N/A,FB,Goal Line,Middle,Middle,Fullback dive
Goal Line,Play Action Pass,Play Action,23,Max,Play,Goal Line,Right,Right,PA pass from goal line
Goal Line,Bootleg,Play Action,23,Sprint,Boot,Goal Line,Right,Right,Bootleg from goal line
Goal Line,Waggle,Play Action,23,Sprint,Waggle,Goal Line,Left,Left,Waggle from goal line
Goal Line,Fade,Pass,23,Max,Fade,Goal Line,Right,Right,Fade route
Singleback,Inside Zone,Run,11,N/A,Zone,Balanced,Middle,Middle,Inside zone
Singleback,Outside Zone,Run,11,N/A,Zone,Balanced,Right,Right,Outside zone
Singleback,Power,Run,11,N/A,Power,Balanced,Right,Right,Power run
Singleback,Counter,Run,11,N/A,Counter,Balanced,Left,Left,Counter run
Singleback,Draw,Run,11,N/A,Draw,Balanced,Middle,Middle,RB draw
Singleback,Stretch,Run,11,N/A,Stretch,Balanced,Right,Right,Stretch run
Singleback,Dive,Run,11,N/A,Dive,Balanced,Middle,Middle,Dive play
